,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,info2String,info6String,streetViewMetadataURL,streetViewURL,isPropertyResultCDP,builderName,lotAreaString,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
341,13313732,https://www.zillow.com/homedetails/4709-W-29th-Ave-Denver-CO-80212/13313732_zpid/,"$1,750,000","4709 W 29th Avenue, Denver, CO 80212",4709 W 29th Avenue,Denver,CO,80212,1715200,,,,,,,,,,,,,,,,,,,,,
342,13375381,https://www.zillow.com/homedetails/2427-S-Garfield-St-Denver-CO-80210/13375381_zpid/,"$1,925,000","2427 S Garfield Street, Denver, CO 80210",2427 S Garfield Street,Denver,CO,80210,1894200,,,,,,,,,,,,,,,,,,,,,
343,13367598,https://www.zillow.com/homedetails/1810-W-Arkansas-Ave-Denver-CO-80223/13367598_zpid/,"$349,000","1810 W Arkansas Avenue, Denver, CO 80223",1810 W Arkansas Avenue,Denver,CO,80223,396400,,,,,,,,,,,,,,,,,,,,,
344,13386328,https://www.zillow.com/homedetails/3253-S-King-Way-Denver-CO-80236/13386328_zpid/,"$859,000","3253 S King Way, Denver, CO 80236",3253 S King Way,Denver,CO,80236,853946,,,,,,,,,,,,,,,,,,,,,
345,13351242,https://www.zillow.com/homedetails/725-S-Cove-Way-Denver-CO-80209/13351242_zpid/,"$1,199,000","725 S Cove Way, Denver, CO 80209",725 S Cove Way,Denver,CO,80209,1199002,,,,,,,,,,,,,,,,,,,,,
346,13372407,https://www.zillow.com/homedetails/1101-S-Clayton-St-Denver-CO-80210/13372407_zpid/,"$2,199,000","1101 S Clayton Street, Denver, CO 80210",1101 S Clayton Street,Denver,CO,80210,2155882,,,,,,,,,,,,,,,,,,,,,
347,13395663,https://www.zillow.com/homedetails/33-S-Birch-St-Denver-CO-80246/13395663_zpid/,"$3,970,000","33 S Birch Street, Denver, CO 80246",33 S Birch Street,Denver,CO,80246,3851500,,,,,,,,,,,,,,,,,,,,,
348,58294078,https://www.zillow.com/homedetails/819-S-Lincoln-St-Denver-CO-80209/58294078_zpid/,"$299,000","819 S Lincoln Street, Denver, CO 80209",819 S Lincoln Street,Denver,CO,80209,292355,,,,,,,,,,,,,,,,,,,,,
349,13368808,https://www.zillow.com/homedetails/1381-S-Lincoln-St-Denver-CO-80210/13368808_zpid/,"$675,000","1381 S Lincoln Street, Denver, CO 80210",1381 S Lincoln Street,Denver,CO,80210,669836,,,,,,,,,,,,,,,,,,,,,
350,13297562,https://www.zillow.com/homedetails/4223-King-St-Denver-CO-80211/13297562_zpid/,"$800,000","4223 King Street, Denver, CO 80211",4223 King Street,Denver,CO,80211,794365,,,,,,,,,,,,,,,,,,,,,
351,13306866,https://www.zillow.com/homedetails/3058-N-Race-St-Denver-CO-80205/13306866_zpid/,"$550,000","3058 N Race Street, Denver, CO 80205",3058 N Race Street,Denver,CO,80205,550000,,,,,,,,,,,,,,,,,,,,,
352,247393265,https://www.zillow.com/homedetails/19138-E-54th-Pl-Denver-CO-80249/247393265_zpid/,"$489,000","19138 E 54th Place, Denver, CO 80249",19138 E 54th Place,Denver,CO,80249,478473,,,,,,,,,,,,,,,,,,,,,
353,13383094,https://www.zillow.com/homedetails/2345-S-Lowell-Blvd-Denver-CO-80219/13383094_zpid/,"$599,900","2345 S Lowell Boulevard, Denver, CO 80219",2345 S Lowell Boulevard,Denver,CO,80219,589466,,,,,,,,,,,,,,,,,,,,,
354,2079550928,https://www.zillow.com/homedetails/4605-S-Yosemite-St-UNIT-U-202-Denver-CO-80237/2079550928_zpid/,"$595,000","4605 S Yosemite Street  Unit U-202, Denver, CO 80237",4605 S Yosemite Street  Unit U-202,Denver,CO,80237,526500,,,,,,,,,,,,,,,,,,,,,
355,131678731,https://www.zillow.com/homedetails/2247-S-Cherokee-St-Denver-CO-80223/131678731_zpid/,"$299,000","2247 S Cherokee Street, Denver, CO 80223",2247 S Cherokee Street,Denver,CO,80223,299000,,,,,,,,,,,,,,,,,,,,,
356,13325510,https://www.zillow.com/homedetails/1206-Garfield-St-Denver-CO-80206/13325510_zpid/,"$1,250,000","1206 N Garfield Street, Denver, CO 80206",1206 N Garfield Street,Denver,CO,80206,1240740,,,,,,,,,,,,,,,,,,,,,
357,247386462,https://www.zillow.com/homedetails/925-N-Lincoln-St-Denver-CO-80203/247386462_zpid/,"$1,990,000","925 N Lincoln Street  Unit 15a/15b, Denver, CO 80203",925 N Lincoln Street  Unit 15a/15b,Denver,CO,80203,1956271,,,,,,,,,,,,,,,,,,,,,
358,118268239,https://www.zillow.com/homedetails/5549-Halifax-St-Denver-CO-80249/118268239_zpid/,"$489,000","5549 Halifax Street, Denver, CO 80249",5549 Halifax Street,Denver,CO,80249,481393,,,,,,,,,,,,,,,,,,,,,
359,58294315,https://www.zillow.com/homedetails/2500-S-York-St-APT-416-Denver-CO-80210/58294315_zpid/,"$300,000","2500 S York Street  Unit 416, Denver, CO 80210",2500 S York Street  Unit 416,Denver,CO,80210,295384,,,,,,,,,,,,,,,,,,,,,
360,13314797,https://www.zillow.com/homedetails/3915-W-Byron-Pl-Denver-CO-80212/13314797_zpid/,"$1,799,999","3915 W Byron Place, Denver, CO 80212",3915 W Byron Place,Denver,CO,80212,1771199,,,,,,,,,,,,,,,,,,,,,
