,zpid,detailUrl,price,address,addressStreet,addressCity,addressState,addressZipcode,zestimate,info2String,info6String,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Neighborhood
0,13419547,https://www.zillow.com/homedetails/2685-S-Dayton-Way-APT-203-Denver-CO-80231/13419547_zpid/,"$422,000","2685 S Dayton Way  Unit 203, Denver, CO 80231",2685 S Dayton Way  Unit 203,Denver,CO,80231,420400,,,,,,,,,,,,,,,,
1,96084787,https://www.zillow.com/homedetails/3414-Beeler-St-Denver-CO-80238/96084787_zpid/,"$929,500","3414 Beeler Street, Denver, CO 80238",3414 Beeler Street,Denver,CO,80238,922614,,,,,,,,,,,,,,,,
2,13348197,https://www.zillow.com/homedetails/362-Jackson-St-Denver-CO-80206/13348197_zpid/,"$1,480,000","362 Jackson Street, Denver, CO 80206",362 Jackson Street,Denver,CO,80206,1413233,,,,,,,,,,,,,,,,
3,13274862,https://www.zillow.com/homedetails/18971-E-43rd-Ave-Denver-CO-80249/13274862_zpid/,"$615,000","18971 E 43rd Avenue, Denver, CO 80249",18971 E 43rd Avenue,Denver,CO,80249,615800,,,,,,,,,,,,,,,,
4,13328178,https://www.zillow.com/homedetails/617-Detroit-St-Denver-CO-80206/13328178_zpid/,"$995,000","617 Detroit Street, Denver, CO 80206",617 Detroit Street,Denver,CO,80206,995000,,,,,,,,,,,,,,,,
5,13321456,https://www.zillow.com/homedetails/1582-N-Emerson-St-Denver-CO-80218/13321456_zpid/,"$849,000","1582 N Emerson Street, Denver, CO 80218",1582 N Emerson Street,Denver,CO,80218,891900,,,,,,,,,,,,,,,,
6,63175145,https://www.zillow.com/homedetails/7423-E-26th-Ave-Denver-CO-80238/63175145_zpid/,"$274,275","7423 E 26th Avenue, Denver, CO 80238",7423 E 26th Avenue,Denver,CO,80238,331000,,,,,,,,,,,,,,,,
7,119692240,https://www.zillow.com/homedetails/5568-Malta-St-Denver-CO-80249/119692240_zpid/,"$449,950","5568 Malta Street, Denver, CO 80249",5568 Malta Street,Denver,CO,80249,455900,,,,,,,,,,,,,,,,
8,72100892,https://www.zillow.com/homedetails/2077-S-Grant-St-Denver-CO-80210/72100892_zpid/,"$1,025,000","2077 S Grant Street, Denver, CO 80210",2077 S Grant Street,Denver,CO,80210,897700,,,,,,,,,,,,,,,,
9,61433747,https://www.zillow.com/homedetails/1520-S-Pennsylvania-St-Denver-CO-80210/61433747_zpid/,"$1,000,000","1520 S Pennsylvania Street, Denver, CO 80210",1520 S Pennsylvania Street,Denver,CO,80210,1147000,,,,,,,,,,,,,,,,
10,13390824,https://www.zillow.com/homedetails/930-Kearney-St-Denver-CO-80220/13390824_zpid/,"$1,650,000","930 Kearney Street, Denver, CO 80220",930 Kearney Street,Denver,CO,80220,1640300,,,,,,,,,,,,,,,,
11,131678830,https://www.zillow.com/homedetails/4401-N-Fraser-Way-UNIT-101-Denver-CO-80239/131678830_zpid/,"$300,000","4401 Fraser Way  Unit 101, Denver, CO 80239",4401 Fraser Way  Unit 101,Denver,CO,80239,296907,,,,,,,,,,,,,,,,
12,13342604,https://www.zillow.com/homedetails/926-W-4th-Ave-Denver-CO-80223/13342604_zpid/,"$700,000","926 W 4th Avenue, Denver, CO 80223",926 W 4th Avenue,Denver,CO,80223,692579,,,,,,,,,,,,,,,,
13,13055974,https://www.zillow.com/homedetails/7917-E-Vassar-Dr-Denver-CO-80231/13055974_zpid/,"$649,000","7917 E Vassar Drive, Denver, CO 80231",7917 E Vassar Drive,Denver,CO,80231,638360,,,,,,,,,,,,,,,,
14,13331941,https://www.zillow.com/homedetails/1441-N-Pennsylvania-St-APT-14-Denver-CO-80203/13331941_zpid/,"$387,000","1441 N Pennsylvania Street  Unit 14, Denver, CO 80203",1441 N Pennsylvania Street  Unit 14,Denver,CO,80203,380800,,,,,,,,,,,,,,,,
15,13402426,https://www.zillow.com/homedetails/7995-E-Mississippi-Ave-APT-G1-Denver-CO-80247/13402426_zpid/,"$342,900","7995 E Mississippi Avenue  Unit G1, Denver, CO 80247",7995 E Mississippi Avenue  Unit G1,Denver,CO,80247,307600,,,,,,,,,,,,,,,,
